Combined EQU and Label Definitions:
LENADD (EQU) in main.asm: LENADD:         EQU	$-TOKADD
LENSUB (EQU) in main.asm: LENSUB:         EQU	$-TOKSUB
LET (label) in exec.asm: Line 457
LET0 (label) in exec.asm: Line 450
LETA0 (label) in eval.asm: Line 2075
LETARR (label) in eval.asm: Line 2040
LEX (label) in main.asm: Line 1235
LEX0 (label) in main.asm: Line 1236
LEX1 (label) in main.asm: Line 1242
LEX2 (label) in main.asm: Line 1248
LEX3 (label) in main.asm: Line 1249
LEX4 (label) in main.asm: Line 1264
LEX5 (label) in main.asm: Line 1267
LEX6 (label) in main.asm: Line 1271
LEX7 (label) in main.asm: Line 1259
LEXAN1 (label) in main.asm: Line 2074
LEXAN2 (label) in main.asm: Line 2077
LEXAN3 (label) in main.asm: Line 2088
LEXAN4 (label) in main.asm: Line 2095
LEXAN5 (label) in main.asm: Line 2100
LEXAN6 (label) in main.asm: Line 2113
LEXAN7 (label) in main.asm: Line 2121
LEXAN8 (label) in main.asm: Line 2130
LEXAN9 (label) in main.asm: Line 2134
LEXANA (label) in main.asm: Line 2135
LEXANB (label) in main.asm: Line 2141
LEXANC (label) in main.asm: Line 2142
LEXAND (label) in main.asm: Line 2145
LEXANE (label) in main.asm: Line 2152
LEXANF (label) in main.asm: Line 2159
LF (EQU) in equs.inc: LF:			EQU     0AH
LIBASE (label) in data.asm: Line 80
LINE (label) in acorn.asm: Line 415
LINE1S (label) in exec.asm: Line 3039
LINES (label) in exec.asm: Line 3038
LINNM1 (label) in main.asm: Line 1962
LINNUM (label) in main.asm: Line 1960
LIST (label) in main.asm: Line 886
LIST1 (label) in main.asm: Line 2161
LIST1L (EQU) in main.asm: LIST1L:         EQU	$-LIST1
LIST2 (label) in main.asm: Line 2165
LIST2L (EQU) in main.asm: LIST2L:         EQU	$-LIST2
LIST5 (label) in main.asm: Line 1402
LIST6 (label) in main.asm: Line 1416
LIST7 (label) in main.asm: Line 1419
LIST8 (label) in main.asm: Line 1408
LIST9 (label) in main.asm: Line 1432
LISTA (label) in main.asm: Line 916
LISTB (label) in main.asm: Line 911
LISTC (label) in main.asm: Line 922
LISTIT (label) in main.asm: Line 1376
LISTO (label) in main.asm: Line 873
LISTON (label) in data.asm: Line 94
LN (label) in math.asm: Line 1025
LN0 (label) in math.asm: Line 1026
LN1 (label) in math.asm: Line 1075
LN2 (label) in math.asm: Line 1015
LN3 (label) in math.asm: Line 1086
LN4 (label) in math.asm: Line 1042
LNZERO (label) in agon_os.asm: Line 450
LNev (label) in eval.asm: Line 1108
LOAD (label) in main.asm: Line 1135
LOAD0 (label) in main.asm: Line 1307
LOAD1 (label) in eval.asm: Line 589
LOAD4 (label) in eval.asm: Line 581
LOAD5 (label) in eval.asm: Line 580
LOADN (label) in eval.asm: Line 575
LOADS (label) in eval.asm: Line 729
LOADS2 (label) in eval.asm: Line 744
LOC0 (label) in main.asm: Line 1837
LOC1 (label) in main.asm: Line 1846
LOC2 (label) in main.asm: Line 1852
LOC3 (label) in main.asm: Line 1863
LOC4 (label) in main.asm: Line 1870
LOC5 (label) in main.asm: Line 1874
LOC6 (label) in main.asm: Line 1901
LOC7 (label) in main.asm: Line 1919
LOC8 (label) in main.asm: Line 1932
LOC9 (label) in main.asm: Line 1944
LOCAL (label) in exec.asm: Line 1317
LOCAL1 (label) in exec.asm: Line 1344
LOCAL2 (label) in exec.asm: Line 1352
LOCAL3 (label) in exec.asm: Line 1365
LOCAL4 (label) in exec.asm: Line 1368
LOCATE (label) in main.asm: Line 1815
LOCCHK (EQU) in exec.asm: LOCCHK:         EQU	$
LOCDAT (label) in exec.asm: Line 1304
LOCERR (label) in exec.asm: Line 1299
LOCX (label) in main.asm: Line 1886
LOG (label) in math.asm: Line 1094
LOGRNG (EQU) in math.asm: LOGRNG:         EQU	22		;Log range
LOGev (label) in eval.asm: Line 1114
LOMEM (label) in data.asm: Line 77
LOMEMV (label) in exec.asm: Line 1935
LOMEMVev (label) in eval.asm: Line 916
LOOP (label) in exec.asm: Line 1078
LOUT (label) in main.asm: Line 1455
LTRAP (label) in agon_os.asm: Line 224
LTRAP1 (label) in agon_os.asm: Line 227
MELSE (label) in exec.asm: Line 1617
MIDS (label) in eval.asm: Line 1579
MIDS1 (label) in eval.asm: Line 1598
MIDSL (label) in exec.asm: Line 2128
MIDSL0 (label) in exec.asm: Line 2141
MIDSL1 (label) in exec.asm: Line 2162
MIDSL2 (label) in exec.asm: Line 2161
MINUS (label) in eval.asm: Line 512
MINUS0 (label) in eval.asm: Line 513
MISC (label) in asmb.asm: Line 426
MISMAT (label) in exec.asm: Line 499
MISMATev (label) in eval.asm: Line 450
MISQUO (label) in exec.asm: Line 3195
MOD16 (label) in eval.asm: Line 2582
MOD160 (label) in eval.asm: Line 2586
MOD161 (label) in eval.asm: Line 2589
MOD48 (label) in math.asm: Line 1643
MOD481 (label) in math.asm: Line 1651
MOD482 (label) in math.asm: Line 1666
MOD483 (label) in math.asm: Line 1670
MOD484 (label) in math.asm: Line 1692
MOD485 (label) in math.asm: Line 1693
MODE (label) in acorn.asm: Line 307
MODEFN (label) in acorn.asm: Line 238
MODE_ (label) in agon_graphics.asm: Line 42
MODFS1 (label) in exec.asm: Line 2428
MODFUN (label) in eval.asm: Line 1341
MODIFS (label) in exec.asm: Line 2407
MODIFY (label) in exec.asm: Line 2353
MODNZ (label) in eval.asm: Line 2563
MODUP (label) in eval.asm: Line 1350
MOD_ (EQU) in eval.asm: MOD_:           EQU	83H
MOUSE (label) in acorn.asm: Line 625
MOVE (label) in acorn.asm: Line 496
MUL0 (label) in math.asm: Line 2136
MUL1 (label) in math.asm: Line 2147
MUL16 (label) in exec.asm: Line 3227
MUL161 (label) in exec.asm: Line 3230
MUL162 (label) in exec.asm: Line 3237
MULA (label) in math.asm: Line 2135
MULB (label) in math.asm: Line 2149
NEG (label) in math.asm: Line 1613
NEG0 (label) in math.asm: Line 1596
NEGATE (label) in math.asm: Line 1594
NEGATEev (label) in eval.asm: Line 418
NENDIF (label) in exec.asm: Line 1612
NEW (label) in main.asm: Line 1130
NEWIT (label) in main.asm: Line 1350
NEWLIN (label) in exec.asm: Line 339
NEXT (label) in exec.asm: Line 1028
NEXT0 (label) in exec.asm: Line 1049
NEXT1 (label) in exec.asm: Line 1086
NEXT2 (label) in exec.asm: Line 1040
NGROOT (EQU) in math.asm: NGROOT:         EQU	21		;Negative root
NLIST (label) in main.asm: Line 2237
NOAUTO (label) in main.asm: Line 227
NOLINE (label) in exec.asm: Line 1851
NOROOM (label) in exec.asm: Line 672
NOS1 (label) in eval.asm: Line 601
NOSUCH (label) in exec.asm: Line 491
NOSUCHev (label) in eval.asm: Line 596
NOTCMD (label) in main.asm: Line 253
NOTICE (label) in main.asm: Line 195
NSCAN (label) in exec.asm: Line 3095
NSCAN1 (label) in exec.asm: Line 3096
NSCAN2 (label) in exec.asm: Line 3106
NSCAN3 (label) in exec.asm: Line 3120
NSCAN4 (label) in exec.asm: Line 3123
NSCAN5 (label) in exec.asm: Line 3128
NSCAN6 (label) in exec.asm: Line 3132
NSCAN7 (label) in exec.asm: Line 3104
NULLTOCR (label) in agon_misc.asm: Line 128
NUMB1 (label) in math.asm: Line 1551
NUMBER (label) in asmb.asm: Line 509
NUMBERmat (label) in math.asm: Line 1531
NUMBIX (label) in math.asm: Line 1530
NXT (label) in main.asm: Line 2243
NXT1 (label) in main.asm: Line 2246
OC (EQU) in equs.inc: OC:			EQU     STAVAR+15*4     ; CODE ORIGIN (O%)
ODD (label) in math.asm: Line 1771
OFFSET (EQU) in main.asm: OFFSET:         EQU	0CFH-TOKLO
OFFSETasm (label) in asmb.asm: Line 505
OFLOW (label) in math.asm: Line 1806
OLD (label) in main.asm: Line 1144
ON (label) in exec.asm: Line 849
ON1 (label) in exec.asm: Line 865
ON2 (label) in exec.asm: Line 878
ON3 (label) in exec.asm: Line 887
ON4 (label) in exec.asm: Line 903
ON5 (label) in exec.asm: Line 899
ONERR (label) in exec.asm: Line 812
ONERR1 (label) in exec.asm: Line 831
ONERSP (label) in data.asm: Line 85
ONPROC (label) in exec.asm: Line 914
OP (label) in math.asm: Line 64
OP1 (label) in asmb.asm: Line 496
OPCODS (label) in asmb.asm: Line 643
OPENIN (label) in eval.asm: Line 950
OPENOT (label) in eval.asm: Line 946
OPENUP (label) in eval.asm: Line 948
OPND (label) in asmb.asm: Line 480
OPRNDS (label) in asmb.asm: Line 906
OPT (label) in asmb.asm: Line 408
ORC (label) in asmb.asm: Line 565
ORIGIN (label) in acorn.asm: Line 324
OR_ (EQU) in eval.asm: OR_:            EQU	84H
OSBGET (label) in agon_os.asm: Line 270
OSBPUT (label) in agon_os.asm: Line 281
OSBYTE (label) in agon_os.asm: Line 689
OSBYTE_0B (label) in agon_os.asm: Line 717
OSBYTE_0C (label) in agon_os.asm: Line 731
OSBYTE_13 (label) in agon_os.asm: Line 743
OSBYTE_76 (label) in agon_os.asm: Line 751
OSBYTE_81 (label) in agon_os.asm: Line 769
OSBYTE_86 (label) in agon_os.asm: Line 790
OSBYTE_87 (label) in agon_os.asm: Line 807
OSBYTE_A0 (label) in agon_os.asm: Line 820
OSCALL (label) in acorn.asm: Line 686
OSCLI (label) in agon_os.asm: Line 834
OSCLI0 (label) in agon_os.asm: Line 841
OSCLI1 (label) in agon_os.asm: Line 846
OSCLI2 (label) in agon_os.asm: Line 853
OSCLI3 (label) in agon_os.asm: Line 854
OSCLI4 (label) in agon_os.asm: Line 867
OSCLI5 (label) in agon_os.asm: Line 869
OSCLI6 (label) in agon_os.asm: Line 880
OSEDIT (label) in agon_os.asm: Line 439
OSERROR (label) in agon_os.asm: Line 525
OSINIT (label) in agon_os.asm: Line 100
OSKEY (label) in acorn.asm: Line 164
OSLINE (label) in agon_os.asm: Line 157
OSLINE1 (label) in agon_os.asm: Line 166
OSLOAD (label) in agon_os.asm: Line 362
OSLOAD_BBC (label) in agon_os.asm: Line 519
OSLOAD_TXT (label) in agon_os.asm: Line 376
OSLOAD_TXT1 (label) in agon_os.asm: Line 384
OSLOAD_TXT2 (label) in agon_os.asm: Line 399
OSLOAD_TXT3 (label) in agon_os.asm: Line 411
OSLOAD_TXT4 (label) in agon_os.asm: Line 427
OSOPEN (label) in agon_os.asm: Line 244
OSRDCH (label) in agon_os.asm: Line 150
OSRET (label) in acorn.asm: Line 694
OSSAVE (label) in agon_os.asm: Line 541
OSSAVE_BBC (label) in agon_os.asm: Line 586
OSSAVE_TXT (label) in agon_os.asm: Line 555
OSSAVE_TXT1 (label) in agon_os.asm: Line 567
OSSAVE_TXT2 (label) in agon_os.asm: Line 577
OSSHUT (label) in agon_os.asm: Line 257
OSSTAT (label) in agon_os.asm: Line 295
OSWORD (label) in agon_os.asm: Line 652
OSWORD_07 (EQU) in agon_os.asm: OSWORD_07:		EQU	SOUND_
OSWORD_08 (label) in agon_os.asm: Line 680
OSWORD_09 (label) in agon_os.asm: Line 676
OSWRCH (label) in agon_os.asm: Line 116
OSWRCHCH (label) in data.asm: Line 23
OSWRCHFH (label) in data.asm: Line 24
OSWRCHPT (label) in data.asm: Line 22
OSWRCH_BUFFER (label) in agon_os.asm: Line 129
OSWRCH_BUFFER1 (label) in agon_os.asm: Line 135
OSWRCH_BUFFER2 (label) in agon_os.asm: Line 138
OSWRCH_FILE (label) in agon_os.asm: Line 141
OUT (label) in main.asm: Line 1496
OUTCH1 (label) in asmb.asm: Line 139
OUTCHR (label) in main.asm: Line 1476
OUTER (label) in eval.asm: Line 2400
OUTLIN (label) in acorn.asm: Line 596
PAGEV (label) in exec.asm: Line 1912
PAGEVev (label) in eval.asm: Line 920
PAGE_ (label) in data.asm: Line 76
PAIR (label) in main.asm: Line 1991
PAIR1 (label) in main.asm: Line 1996
PAIR1asm (label) in asmb.asm: Line 552
PAIRasm (label) in asmb.asm: Line 550
PALCOL (label) in acorn.asm: Line 348
PALET1 (label) in acorn.asm: Line 372
PA_ALT1 (EQU) in equs.inc: PA_ALT1:		EQU		98h
PA_ALT2 (EQU) in equs.inc: PA_ALT2:		EQU		99h
PA_DDR (EQU) in equs.inc: PA_DDR:			EQU		97h
PA_DR (EQU) in equs.inc: PA_DR:			EQU		96h
PBCD (label) in main.asm: Line 1598
PBCD0 (label) in main.asm: Line 1599
PBCD1 (label) in main.asm: Line 1601
PBCD2 (label) in main.asm: Line 1602
PBCD3 (label) in main.asm: Line 1610
PBCD4 (label) in main.asm: Line 1621
PBCDL (label) in main.asm: Line 1590
PB_ALT1 (EQU) in equs.inc: PB_ALT1:        	EQU		9Ch
PB_ALT2 (EQU) in equs.inc: PB_ALT2:        	EQU		9Dh
PB_DDR (EQU) in equs.inc: PB_DDR:        	 	EQU		9Bh
PB_DR (EQU) in equs.inc: PB_DR:          	EQU		9Ah
PC (EQU) in equs.inc: PC:			EQU     STAVAR+16*4     ; PROGRAM COUNTER (P%)
PC_ALT1 (EQU) in equs.inc: PC_ALT1:        	EQU		A0h
PC_ALT2 (EQU) in equs.inc: PC_ALT2:        	EQU		A1h
PC_DDR (EQU) in equs.inc: PC_DDR:         	EQU		9Fh
PC_DR (EQU) in equs.inc: PC_DR:          	EQU		9Eh
PD_ALT1 (EQU) in equs.inc: PD_ALT1:		EQU		A4h
PD_ALT2 (EQU) in equs.inc: PD_ALT2:		EQU		A5h
PD_DDR (EQU) in equs.inc: PD_DDR:			EQU		A3h
PD_DR (EQU) in equs.inc: PD_DR:          	EQU		A2h
PI (label) in math.asm: Line 685
PIBY4 (label) in math.asm: Line 935
PIev (label) in eval.asm: Line 1036
PLOT (label) in acorn.asm: Line 505
PLOT1 (label) in acorn.asm: Line 520
PLOT2 (label) in acorn.asm: Line 524
PLOT3 (label) in acorn.asm: Line 527
PLOT4 (label) in acorn.asm: Line 532
PLOT4A (label) in acorn.asm: Line 456
PLOT4B (label) in acorn.asm: Line 592
POINT (label) in acorn.asm: Line 200
POINT_ (label) in agon_graphics.asm: Line 109
POLY (label) in math.asm: Line 2029
POLY1 (label) in math.asm: Line 2033
POP5 (label) in math.asm: Line 1993
POPS (label) in eval.asm: Line 1892
POPS1 (label) in eval.asm: Line 1901
POS (label) in eval.asm: Line 881
POWR10 (label) in math.asm: Line 2053
POWR11 (label) in math.asm: Line 2062
POWR12 (label) in math.asm: Line 2077
POWR13 (label) in math.asm: Line 2069
POWR14 (label) in math.asm: Line 2082
PRINT (label) in exec.asm: Line 715
PRINT0 (label) in exec.asm: Line 773
PRINT3 (label) in exec.asm: Line 805
PRINT4 (label) in exec.asm: Line 808
PRINT6 (label) in exec.asm: Line 757
PRINT8 (label) in exec.asm: Line 759
PRINT9 (label) in exec.asm: Line 761
PRINTA (label) in exec.asm: Line 768
PRINTC (label) in exec.asm: Line 776
PRLINO (label) in main.asm: Line 1439
PRNTN1 (label) in exec.asm: Line 718
PRNTN2 (label) in exec.asm: Line 741
PRNTN3 (label) in exec.asm: Line 745
PRNTN4 (label) in exec.asm: Line 753
PROC (label) in exec.asm: Line 1109
PROC0 (label) in exec.asm: Line 1217
PROC1 (label) in exec.asm: Line 1112
PROC2 (label) in exec.asm: Line 1122
PROC3 (label) in exec.asm: Line 1144
PROC4 (label) in exec.asm: Line 1148
PROC5 (label) in exec.asm: Line 1283
PROC6 (label) in exec.asm: Line 1139
PROC7 (label) in exec.asm: Line 1226
PROC8 (label) in exec.asm: Line 1240
PROC9 (label) in exec.asm: Line 1250
PROCA (label) in exec.asm: Line 1261
PROCB (label) in exec.asm: Line 1269
PROCHK (EQU) in exec.asm: PROCHK:         EQU	$
PROMPT (label) in agon_os.asm: Line 110
PROPTR (label) in data.asm: Line 74
PTEXT (label) in exec.asm: Line 3017
PTEXT1 (label) in exec.asm: Line 3019
PTR (label) in exec.asm: Line 1900
PTRev (label) in eval.asm: Line 970
PURGE (label) in main.asm: Line 179
PUSH5 (label) in math.asm: Line 1982
PUSHS (label) in eval.asm: Line 1867
PUSHS1 (label) in eval.asm: Line 1884
PUT (label) in exec.asm: Line 2307
PUTCSR (label) in acorn.asm: Line 178
PUTIME (label) in acorn.asm: Line 120
PUTIMS (label) in acorn.asm: Line 137
PUTPTR (label) in agon_os.asm: Line 325
PUTVAR (label) in main.asm: Line 1642
QUOTE (label) in exec.asm: Line 3187
RAD (label) in math.asm: Line 704
RADev (label) in eval.asm: Line 1060
RAM_Top (EQU) in equs.inc: RAM_Top:		EQU		0FF00h
RAND (label) in exec.asm: Line 282
RANDOM (label) in data.asm: Line 90
RANGE (label) in main.asm: Line 2034
RANGE1 (label) in main.asm: Line 2042
RANGE2 (label) in main.asm: Line 2049
RATIO (label) in math.asm: Line 2009
RDIV (label) in math.asm: Line 1012
READ (label) in exec.asm: Line 1527
READ0 (label) in exec.asm: Line 1530
READ1 (label) in exec.asm: Line 1551
READ2 (label) in exec.asm: Line 1554
READKEY (label) in agon_os.asm: Line 214
RECIP (label) in math.asm: Line 1011
RECT0 (label) in acorn.asm: Line 541
RECT1 (label) in acorn.asm: Line 555
RECTAN (label) in acorn.asm: Line 537
RECTTO (label) in acorn.asm: Line 574
REFIL0 (label) in exec.asm: Line 1505
REFIL1 (label) in exec.asm: Line 1518
REFILL (label) in exec.asm: Line 1499
REG (label) in asmb.asm: Line 522
REGHI (label) in asmb.asm: Line 534
REGLO (label) in asmb.asm: Line 530
RELOPQ (label) in eval.asm: Line 1926
REM (label) in exec.asm: Line 387
RENUM (label) in main.asm: Line 987
RENUM1 (label) in main.asm: Line 992
RENUM2 (label) in main.asm: Line 1030
RENUM3 (label) in main.asm: Line 1037
RENUM4 (label) in main.asm: Line 1077
RENUM5 (label) in main.asm: Line 1102
RENUM6 (label) in main.asm: Line 1106
RENUM7 (label) in main.asm: Line 1062
REPCHK (EQU) in exec.asm: REPCHK:         EQU	$
REPCPY (label) in eval.asm: Line 781
REPDUN (label) in eval.asm: Line 748
REPEAT (label) in exec.asm: Line 951
REPOR (label) in exec.asm: Line 1825
REPORS (label) in eval.asm: Line 775
REPORT (label) in main.asm: Line 2213
REPTOK (label) in eval.asm: Line 798
RESAR1 (label) in exec.asm: Line 2754
RESARR (label) in exec.asm: Line 2747
RESDAT (label) in exec.asm: Line 1845
RESERR (label) in exec.asm: Line 1836
RESET (label) in agon_os.asm: Line 233
RESLGO (label) in exec.asm: Line 2834
RESLO0 (label) in exec.asm: Line 2783
RESLO1 (label) in exec.asm: Line 2765
RESLO2 (label) in exec.asm: Line 2787
RESLO3 (label) in exec.asm: Line 2807
RESLO4 (label) in exec.asm: Line 2824
RESLO5 (label) in exec.asm: Line 2836
RESLO6 (label) in exec.asm: Line 2797
RESLO7 (label) in exec.asm: Line 2803
RESLO8 (label) in exec.asm: Line 2779
RESLO9 (label) in exec.asm: Line 2831
RESLOC (label) in exec.asm: Line 2763
RESREL (label) in exec.asm: Line 1873
RESRET (label) in exec.asm: Line 2709
RESTOR (label) in exec.asm: Line 1856
RESTR1 (label) in exec.asm: Line 1869
RESTR2 (label) in exec.asm: Line 1886
RETCHK (label) in exec.asm: Line 1186
RETEXX (label) in acorn.asm: Line 220
RETU8 (label) in acorn.asm: Line 241
RETURN (label) in exec.asm: Line 940
RETXF1 (label) in exec.asm: Line 2657
RETXF2 (label) in exec.asm: Line 2687
RETXF3 (label) in exec.asm: Line 2681
RETXF4 (label) in exec.asm: Line 2701
RETXF5 (label) in exec.asm: Line 2678
RETXF6 (label) in exec.asm: Line 2676
RETXFR (label) in exec.asm: Line 2655
RIGHT0 (label) in eval.asm: Line 1651
RIGHT1 (label) in eval.asm: Line 1660
RIGHT2 (label) in eval.asm: Line 1659
RIGHTS (label) in eval.asm: Line 1639
RITESL (label) in exec.asm: Line 2123
RND (label) in eval.asm: Line 1193
RND1 (label) in eval.asm: Line 1198
RND2 (label) in eval.asm: Line 1200
RND3 (label) in eval.asm: Line 1207
RND4 (label) in eval.asm: Line 1208
RND5 (label) in eval.asm: Line 1213
RND6 (label) in eval.asm: Line 1228
RND7 (label) in eval.asm: Line 1236
RST_08 (label) in agon_init.asm: Line 30
RST_10 (label) in agon_init.asm: Line 34
RST_18 (label) in agon_init.asm: Line 38
RST_20 (label) in agon_init.asm: Line 42
RST_28 (label) in agon_init.asm: Line 43
RST_30 (label) in agon_init.asm: Line 44
RST_38 (label) in agon_init.asm: Line 49
RSUB (label) in math.asm: Line 267
RTABLE (label) in math.asm: Line 144
RUN (label) in exec.asm: Line 273
RUN0 (label) in exec.asm: Line 280
SAVE (label) in main.asm: Line 1161
SAVE1 (label) in eval.asm: Line 1935
SAVEev (label) in eval.asm: Line 1933
SAVLO1 (label) in exec.asm: Line 2859
SAVLO2 (label) in exec.asm: Line 2903
SAVLO3 (label) in exec.asm: Line 2897
SAVLO4 (label) in exec.asm: Line 2930
SAVLO5 (label) in exec.asm: Line 2933
SAVLO6 (label) in exec.asm: Line 2868
SAVLOC (label) in exec.asm: Line 2858
SAVRET (label) in exec.asm: Line 2507
SAYLN (label) in main.asm: Line 1584
SCALE (label) in math.asm: Line 1635
SCP (label) in eval.asm: Line 1829
SCP0 (label) in eval.asm: Line 1840
SCP1 (label) in eval.asm: Line 1842
SCP2 (label) in eval.asm: Line 1852
SCP3 (label) in eval.asm: Line 1857
SCRAP (label) in data.asm: Line 28
SEARCH (label) in eval.asm: Line 1453
SEARCHex (label) in exec.asm: Line 3064
SEQ (label) in eval.asm: Line 1020
SET1 (label) in main.asm: Line 1559
SET2 (label) in main.asm: Line 1573
SET3 (label) in main.asm: Line 1575
SETLIN (label) in main.asm: Line 1552
SET_AHL16 (label) in agon_interrupt.asm: Line 68
SFIX (label) in eval.asm: Line 1143
SFIXmat (label) in math.asm: Line 1584
SFLOAT (label) in math.asm: Line 1736
SFLOATev (label) in eval.asm: Line 1148
SGE (label) in eval.asm: Line 1007
SGN (label) in math.asm: Line 722
SGNev (label) in eval.asm: Line 1066
SGT (label) in eval.asm: Line 1002
SHIFT (label) in eval.asm: Line 278
SHIFT1 (label) in eval.asm: Line 287
SHIFTS (label) in math.asm: Line 631
SHL3 (label) in asmb.asm: Line 562
SHMAX (label) in math.asm: Line 642
SHRET (label) in math.asm: Line 607
SIGN (label) in asmb.asm: Line 622
SIGNQ (label) in math.asm: Line 2233
SIN (label) in math.asm: Line 851
SIN0 (label) in math.asm: Line 852
SIN1 (label) in math.asm: Line 860
SIN2 (label) in math.asm: Line 892
SIN3 (label) in math.asm: Line 910
SINev (label) in eval.asm: Line 1096
SKIP (label) in asmb.asm: Line 615
SKIP0 (label) in asmb.asm: Line 614
SKIPNOTSP (label) in agon_misc.asm: Line 97
SKIPSP (label) in agon_os.asm: Line 892
SKIPSPmisc (label) in agon_misc.asm: Line 88
SLA8 (label) in math.asm: Line 2214
SLE (label) in eval.asm: Line 1011
SLT (label) in eval.asm: Line 998
SNE (label) in eval.asm: Line 1016
SOPTBL (label) in eval.asm: Line 209
SOUND (label) in acorn.asm: Line 279
SOUND0 (label) in agon_sound.asm: Line 76
SOUND1 (label) in acorn.asm: Line 283
SOUND2 (label) in acorn.asm: Line 300
SOUND_ (label) in agon_sound.asm: Line 33
SOUND_FREQ_LOOKUP (label) in agon_sound.asm: Line 123
SPACES (label) in exec.asm: Line 3006
SPAN (label) in exec.asm: Line 2948
SQR (label) in math.asm: Line 772
SQR0 (label) in math.asm: Line 773
SQR1 (label) in math.asm: Line 2163
SQR2 (label) in math.asm: Line 2175
SQR3 (label) in math.asm: Line 2187
SQRA (label) in math.asm: Line 2177
SQRB (label) in math.asm: Line 2195
SQRev (label) in eval.asm: Line 1078
SQUARE (label) in math.asm: Line 1980
SRCH1 (label) in exec.asm: Line 3065
SRCH1ev (label) in eval.asm: Line 1462
SRCH2 (label) in exec.asm: Line 3079
SRCH2ev (label) in eval.asm: Line 1479
SRCH3 (label) in eval.asm: Line 1485
SRCH4 (label) in eval.asm: Line 1492
STACCS (label) in exec.asm: Line 2432
START (label) in main.asm: Line 158
STAR_EDIT (label) in agon_os.asm: Line 926
STAR_FX (label) in agon_os.asm: Line 957
STAR_FX1 (label) in agon_os.asm: Line 966
STAR_FX2 (label) in agon_os.asm: Line 971
STAVAR (label) in data.asm: Line 69
STOP (label) in exec.asm: Line 1813
STORA1 (label) in eval.asm: Line 2020
STORE0 (label) in exec.asm: Line 2375
STORE1 (label) in exec.asm: Line 2386
STORE4 (label) in exec.asm: Line 2392
STORE5 (label) in exec.asm: Line 2391
STOREA (label) in eval.asm: Line 2005
STOREI (label) in acorn.asm: Line 735
STOREN (label) in exec.asm: Line 2376
STORES (label) in exec.asm: Line 2433
STORS0 (label) in exec.asm: Line 2472
STORS1 (label) in exec.asm: Line 2473
STORS2 (label) in exec.asm: Line 2461
STORS3 (label) in exec.asm: Line 2493
STORS5 (label) in exec.asm: Line 2501
STR (label) in eval.asm: Line 1805
STR0 (label) in eval.asm: Line 1806
STR1 (label) in eval.asm: Line 1811
STR10 (label) in math.asm: Line 1218
STR11 (label) in math.asm: Line 1223
STR13 (label) in math.asm: Line 1233
STR14 (label) in math.asm: Line 1242
STR15 (label) in math.asm: Line 1251
STR2 (label) in eval.asm: Line 1815
STR20 (label) in math.asm: Line 1279
STR21 (label) in math.asm: Line 1283
STR22 (label) in math.asm: Line 1285
STR23 (label) in math.asm: Line 1293
STR24 (label) in math.asm: Line 1307
STR25 (label) in math.asm: Line 1315
STR26 (label) in math.asm: Line 1320
STR27 (label) in math.asm: Line 1323
STR2mat (label) in math.asm: Line 1270
STR3 (label) in math.asm: Line 1339
STR30 (label) in math.asm: Line 1352
STR31 (label) in math.asm: Line 1357
STR32 (label) in math.asm: Line 1370
STR33 (label) in math.asm: Line 1385
STR34 (label) in math.asm: Line 1373
STR35 (label) in math.asm: Line 1375
STR36 (label) in math.asm: Line 1378
STR37 (label) in math.asm: Line 1381
STR38 (label) in math.asm: Line 1386
STR39 (label) in math.asm: Line 1390
STR3A (label) in math.asm: Line 1366
STR4 (label) in math.asm: Line 1396
STR40 (label) in math.asm: Line 1397
STR41 (label) in math.asm: Line 1408
STR42 (label) in math.asm: Line 1416
STR43 (label) in math.asm: Line 1423
STR44 (label) in math.asm: Line 1425
STR47 (label) in math.asm: Line 1424
STRIN1 (label) in eval.asm: Line 1691
STRIN2 (label) in eval.asm: Line 1692
STRING_ (label) in eval.asm: Line 1670
STRS (label) in eval.asm: Line 1796
STRmat (label) in math.asm: Line 1210
SUB (label) in math.asm: Line 1920
SUBSL0 (label) in exec.asm: Line 2192
SUBSL1 (label) in exec.asm: Line 2199
SUBSL2 (label) in exec.asm: Line 2206
SUBSL3 (label) in exec.asm: Line 2215
SUBSL4 (label) in exec.asm: Line 2222
SUBSL5 (label) in exec.asm: Line 2212
SUBSL6 (label) in exec.asm: Line 2196
SUBSL9 (label) in exec.asm: Line 2232
SUM (label) in eval.asm: Line 1279
SUMLEN (label) in eval.asm: Line 1256
SUMLN1 (label) in eval.asm: Line 1267
SUMST1 (label) in eval.asm: Line 1318
SUMST2 (label) in eval.asm: Line 1329
SUMSTR (label) in eval.asm: Line 1312
SUMUP (label) in eval.asm: Line 1291
SWAP (label) in math.asm: Line 1783
SWAP1 (label) in math.asm: Line 1786
SWAP1ex (label) in exec.asm: Line 438
SWAPNZ (label) in exec.asm: Line 424
SWAPex (label) in exec.asm: Line 417
SWITCH_A (label) in agon_misc.asm: Line 115
SYNERR (label) in eval.asm: Line 766
SYNTAX (label) in exec.asm: Line 493
SYS (label) in acorn.asm: Line 754
TABIT (label) in exec.asm: Line 2981
TAN (label) in math.asm: Line 826
TANev (label) in eval.asm: Line 1084
TCASE (EQU) in main.asm: TCASE:          EQU	0C8H
TCMD (EQU) in eval.asm: TCMD:           EQU	FUNTBL_END-FUNTBL/2+FUNTOK
