idx,idx1,idx2,address1,address2,opcode1,opcode2,instruction1,instruction2,matching1,src_file,srccode
1271,1271,,08ca,,3e 12,,"ld a,$12",,"ld a,$00",,
1272,1272,,08cc,,49 cf,,rst.lis $08,,rst.lis $00,,
1273,1273,,08ce,,fd e1,,pop iy,,pop iy,,
1274,1274,1238,08d0,0888,c9,c9,ret,ret,ret,agon_os.asm,OSWORD_08:		RET				; Envelope not currently implemented
1275,1275,1239,08d1,0889,fe 0b,fe 0b,cp $0b,cp $0b,cp $00,agon_os.asm,OSBYTE:			CP	0BH			; Keyboard auto-repeat delay
1276,1276,1240,08d3,088b,28 31,28 31,"jr z,$+$33","jr z,$+$33","jr z,$+$00",agon_os.asm,"JR	Z, OSBYTE_0B"
1277,1277,1241,08d5,088d,fe 0c,fe 0c,cp $0c,cp $0c,cp $00,agon_os.asm,CP	0CH			; Keyboard auto-repeat rate
1278,1278,1242,08d7,088f,28 54,28 54,"jr z,$+$56","jr z,$+$56","jr z,$+$00",agon_os.asm,"JR	Z, OSBYTE_0C"
1279,1279,1243,08d9,0891,fe 13,fe 13,cp $13,cp $13,cp $00,agon_os.asm,CP	13H			; Wait for vblank
1280,1280,1244,08db,0893,28 77,28 77,"jr z,$+$79","jr z,$+$79","jr z,$+$00",agon_os.asm,"JR	Z, OSBYTE_13"
1281,1281,1245,08dd,0895,fe 76,fe 76,cp $76,cp $76,cp $00,agon_os.asm,CP	76H			; Set keyboard LED
1282,1282,1246,08df,0897,28 7b,28 7b,"jr z,$+$7d","jr z,$+$7d","jr z,$+$00",agon_os.asm,"JR	Z, OSBYTE_76"
1283,1283,1247,08e1,0899,fe 81,fe 81,cp $81,cp $81,cp $00,agon_os.asm,CP	81H			; Read the keyboard
1284,1284,1248,08e3,089b,ca 84 09,ca 3c 09,"jp z,$0984","jp z,$093c","jp z,$0000",agon_os.asm,"JP	Z, OSBYTE_81"
1285,1285,1249,08e6,089e,fe 86,fe 86,cp $86,cp $86,cp $00,agon_os.asm,CP	86H			; Get cursor coordinates
1286,1286,1250,08e8,08a0,ca dd 09,ca 56 09,"jp z,$09dd","jp z,$0956","jp z,$0000",agon_os.asm,"JP	Z, OSBYTE_86"
1287,1287,1251,08eb,08a3,fe 87,fe 87,cp $87,cp $87,cp $00,agon_os.asm,CP	87H			; Fetch current mode and character under cursor
1288,1288,1252,08ed,08a5,ca 09 0a,ca 85 09,"jp z,$0a09","jp z,$0985","jp z,$0000",agon_os.asm,"JP	Z, OSBYTE_87"
1289,1289,1253,08f0,08a8,fe a0,fe a0,cp $a0,cp $a0,cp $00,agon_os.asm,CP	A0H			; Fetch system variable
1290,1290,1254,08f2,08aa,ca 1f 0a,ca 9b 09,"jp z,$0a1f","jp z,$099b","jp z,$0000",agon_os.asm,"JP	Z, OSBYTE_A0"
1291,1291,1255,08f5,08ad,3e fe,3e fe,"ld a,$fe","ld a,$fe","ld a,$00",agon_os.asm,"HUH:    		LD      A,254			; Bad command error"
1292,1292,1256,08f7,08af,cd d9 3f,cd 55 3f,call $3fd9,call $3f55,call $0000,agon_os.asm,CALL    EXTERR
1293,1293,1257,08fa,08b2,42,42,"ld b,d","ld b,d","ld b,d",agon_os.asm,"DB    	""Bad command"""
1294,1294,1258,08fb,08b3,61,61,"ld h,c","ld h,c","ld h,c",agon_os.asm,
1295,1295,1259,08fc,08b4,64,64,"ld h,h","ld h,h","ld h,h",agon_os.asm,
1296,1296,1260,08fd,08b5,20 63,20 63,"jr nz,$+$65","jr nz,$+$65","jr nz,$+$00",agon_os.asm,
1297,1297,1261,08ff,08b7,6f,6f,"ld l,a","ld l,a","ld l,a",agon_os.asm,
1298,1298,1262,0900,08b8,6d,6d,"ld l,l","ld l,l","ld l,l",agon_os.asm,
1299,1299,1263,0901,08b9,6d,6d,"ld l,l","ld l,l","ld l,l",agon_os.asm,
1300,1300,1264,0902,08ba,61,61,"ld h,c","ld h,c","ld h,c",agon_os.asm,
1301,1301,1265,0903,08bb,6e,6e,"ld l,(hl)","ld l,(hl)","ld l,(hl)",agon_os.asm,
1302,1302,1266,0904,08bc,64,64,"ld h,h","ld h,h","ld h,h",agon_os.asm,
1303,1303,1267,0905,08bd,00,00,nop,nop,nop,agon_os.asm,DEFB    0
1304,1304,1268,0906,08be,3e 17,3e 17,"ld a,$17","ld a,$17","ld a,$00",agon_os.asm,"LD      A, VAL"
1305,1305,1269,0908,08c0,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1306,1306,1270,090b,08c3,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1307,1307,1271,090d,08c5,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1308,1308,1272,0910,08c8,3e 88,3e 88,"ld a,$88","ld a,$88","ld a,$00",agon_os.asm,"LD      A, VAL"
1309,1309,1273,0912,08ca,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1310,1310,1274,0915,08cd,7d,7d,"ld a,l","ld a,l","ld a,l",agon_os.asm,"LD      A, VAL"
1311,1311,1275,0916,08ce,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1312,1312,1276,0919,08d1,7c,7c,"ld a,h","ld a,h","ld a,h",agon_os.asm,"LD      A, VAL"
1313,1313,1277,091a,08d2,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1314,1314,1278,091d,08d5,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1315,1315,1279,091f,08d7,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1316,1316,1280,0922,08da,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1317,1317,1281,0924,08dc,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1318,1318,1282,0927,08df,3e ff,3e ff,"ld a,$ff","ld a,$ff","ld a,$00",agon_os.asm,"LD      A, VAL"
1319,1319,1283,0929,08e1,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1320,1320,1284,092c,08e4,c9,c9,ret,ret,ret,agon_os.asm,RET
1321,1321,1285,092d,08e5,3e 17,3e 17,"ld a,$17","ld a,$17","ld a,$00",agon_os.asm,"LD      A, VAL"
1322,1322,1286,092f,08e7,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1323,1323,1287,0932,08ea,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1324,1324,1288,0934,08ec,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1325,1325,1289,0937,08ef,3e 88,3e 88,"ld a,$88","ld a,$88","ld a,$00",agon_os.asm,"LD      A, VAL"
1326,1326,1290,0939,08f1,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1327,1327,1291,093c,08f4,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1328,1328,1292,093e,08f6,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1329,1329,1293,0941,08f9,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1330,1330,1294,0943,08fb,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1331,1331,1295,0946,08fe,7d,7d,"ld a,l","ld a,l","ld a,l",agon_os.asm,"LD      A, VAL"
1332,1332,1296,0947,08ff,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1333,1333,1297,094a,0902,7c,7c,"ld a,h","ld a,h","ld a,h",agon_os.asm,"LD      A, VAL"
1334,1334,1298,094b,0903,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1335,1335,1299,094e,0906,3e ff,3e ff,"ld a,$ff","ld a,$ff","ld a,$00",agon_os.asm,"LD      A, VAL"
1336,1336,1300,0950,0908,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1337,1337,1301,0953,090b,c9,c9,ret,ret,ret,agon_os.asm,RET
1338,1338,1302,0954,090c,cd 0f 0b,cd 8b 0a,call $0b0f,call $0a8b,call $0000,agon_os.asm,OSBYTE_13:		CALL	WAIT_VBLANK
1339,1339,1303,0957,090f,2e 00,2e 00,"ld l,$00","ld l,$00","ld l,$00",agon_os.asm,"LD	L, 0			; Returns 0"
1340,1340,1304,0959,0911,c3 d2 1b,c3 4e 1b,jp $1bd2,jp $1b4e,jp $0000,agon_os.asm,JP	COUNT0
1341,1341,1305,095c,0914,3e 17,3e 17,"ld a,$17","ld a,$17","ld a,$00",agon_os.asm,"LD      A, VAL"
1342,1342,1306,095e,0916,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1343,1343,1307,0961,0919,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1344,1344,1308,0963,091b,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1345,1345,1309,0966,091e,3e 88,3e 88,"ld a,$88","ld a,$88","ld a,$00",agon_os.asm,"LD      A, VAL"
1346,1346,1310,0968,0920,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1347,1347,1311,096b,0923,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1348,1348,1312,096d,0925,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1349,1349,1313,0970,0928,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1350,1350,1314,0972,092a,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1351,1351,1315,0975,092d,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1352,1352,1316,0977,092f,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1353,1353,1317,097a,0932,3e 00,3e 00,"ld a,$00","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1354,1354,1318,097c,0934,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1355,1355,1319,097f,0937,7d,7d,"ld a,l","ld a,l","ld a,l",agon_os.asm,"LD      A, VAL"
1356,1356,1320,0980,0938,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1357,1357,1321,0983,093b,c9,c9,ret,ret,ret,agon_os.asm,RET
1358,1358,,0984,,d9,,exx,,exx,,
1359,1359,,0985,,cb 7c,,"bit 7,h",,"bit 7,h",,
1360,1360,,0987,,d9,,exx,,exx,,
1361,1361,,0988,,20 1c,,"jr nz,$+$1e",,"jr nz,$+$00",,
1362,1362,,098a,,cd 2d 06,,call $062d,,call $0000,,
1363,1363,,098d,,28 09,,"jr z,$+$0b",,"jr z,$+$00",,
1364,1364,,098f,,cd 0f 0b,,call $0b0f,,call $0000,,
1365,1365,,0992,,7c,,"ld a,h",,"ld a,h",,
1366,1366,,0993,,b5,,or l,,or l,,
1367,1367,,0994,,2b,,dec hl,,dec hl,,
1368,1368,,0995,,20 ed,,"jr nz,$-$11",,"jr nz,$-$00",,
1369,1369,,0997,,c9,,ret,,ret,,
1370,1370,,0998,,21 05 52,,"ld hl,$5205",,"ld hl,$0000",,
1371,1371,,099b,,36 00,,"ld (hl),$00",,"ld (hl),$00",,
1372,1372,,099d,,fe 1b,,cp $1b,,cp $00,,
1373,1373,,099f,,ca 18 06,,"jp z,$0618",,"jp z,$0000",,
1374,1374,,09a2,,26 00,,"ld h,$00",,"ld h,$00",,
1375,1375,,09a4,,6f,,"ld l,a",,"ld l,a",,
1376,1376,,09a5,,c9,,ret,,ret,,
1377,1377,,09a6,,3e 1e,,"ld a,$1e",,"ld a,$00",,
1378,1378,,09a8,,49 cf,,rst.lis $08,,rst.lis $00,,
1379,1379,,09aa,,23,,inc hl,,inc hl,,
1380,1380,,09ab,,7d,,"ld a,l",,"ld a,l",,
1381,1381,,09ac,,ed 44,,neg,,neg,,
1382,1382,,09ae,,4f,,"ld c,a",,"ld c,a",,
1383,1383,,09af,,3e 01,,"ld a,$01",,"ld a,$00",,
1384,1384,,09b1,,fa c8 3f,,"jp m,$3fc8",,"jp m,$0000",,
1385,1385,,09b4,,21 d5 09,,"ld hl,$09d5",,"ld hl,$0000",,
1386,1386,,09b7,,11 00 00,,"ld de,$0000",,"ld de,$0000",,
1387,1387,,09ba,,79,,"ld a,c",,"ld a,c",,
1388,1388,,09bb,,e6 07,,and $07,,and $00,,
1389,1389,,09bd,,5f,,"ld e,a",,"ld e,a",,
1390,1390,,09be,,19,,"add hl,de",,"add hl,de",,
1391,1391,,09bf,,46,,"ld b,(hl)",,"ld b,(hl)",,
1392,1392,,09c0,,79,,"ld a,c",,"ld a,c",,
1393,1393,,09c1,,e6 78,,and $78,,and $00,,
1394,1394,,09c3,,0f,,rrca,,rrca,,
1395,1395,,09c4,,0f,,rrca,,rrca,,
1396,1396,,09c5,,0f,,rrca,,rrca,,
1397,1397,,09c6,,5f,,"ld e,a",,"ld e,a",,
1398,1398,,09c7,,5b dd 19,,"add.lil ix,de",,"add.lil ix,de",,
1399,1399,,09ca,,5b dd 7e 00,,"ld.lil a,(ix)",,"ld.lil a,(ix)",,
1400,1400,,09ce,,a0,,and b,,and b,,
1401,1401,,09cf,,ca 7c 20,,"jp z,$207c",,"jp z,$0000",,
1402,1402,,09d2,,c3 41 1c,,jp $1c41,,jp $0000,,
1403,1403,,09d5,,01 02 04,,"ld bc,$0402",,"ld bc,$0000",,
1404,1404,,09d8,,08,,"ex af,af'",,"ex af,af'",,
1405,1405,,09d9,,10 20,,djnz $+$22,,djnz $+$00,,
1406,1406,,09db,,40 80,,"add.sis a,b",,"add.sis a,b",,
1407,1407,,09dd,,dd e5,,push ix,,push ix,,
1408,1408,,09df,,3e 08,,"ld a,$08",,"ld a,$00",,
1409,1409,,09e1,,49 cf,,rst.lis $08,,rst.lis $00,,
1410,1410,,09e3,,5b dd cb 04 86,,"res.lil 0,(ix+$04)",,"res.lil 0,(ix+$00)",,
1411,1411,1342,09e8,0966,3e 17,3e 00,"ld a,$17","ld a,$00","ld a,$00",agon_os.asm,"LD      A, VAL"
1412,1412,1343,09ea,0968,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1413,1413,1344,09ed,096b,3e 00,3e 82,"ld a,$00","ld a,$82","ld a,$00",agon_os.asm,"LD      A, VAL"
1414,1414,1345,09ef,096d,cd 97 05,cd b1 05,call $0597,call $05b1,call $0000,agon_os.asm,CALL    OSWRCH
1415,1415,,09f2,,3e 82,,"ld a,$82",,"ld a,$00",,
1416,1416,,09f4,,cd 97 05,,call $0597,,call $0000,,
1417,1417,,09f7,,5b dd cb 04 46,,"bit.lil 0,(ix+$04)",,"bit.lil 0,(ix+$00)",,
1418,1418,,09fc,,28 f9,,"jr z,$-$05",,"jr z,$-$00",,
1419,1419,,09fe,,5b dd 6e 07,,"ld.lil l,(ix+$07)",,"ld.lil l,(ix+$00)",,
1420,1420,,0a02,,5b dd 66 08,,"ld.lil h,(ix+$08)",,"ld.lil h,(ix+$00)",,
1421,1421,1352,0a06,0982,dd e1,dd e1,pop ix,pop ix,pop ix,agon_os.asm,POP	IX
1422,1422,1353,0a08,0984,c9,c9,ret,ret,ret,agon_os.asm,RET
1423,1423,1354,0a09,0985,dd e5,dd e5,push ix,push ix,push ix,agon_os.asm,OSBYTE_87:		PUSH	IX
1424,1424,1355,0a0b,0987,cd 2d 0e,cd a9 0d,call $0e2d,call $0da9,call $0000,agon_os.asm,CALL	GETCSR			; Get the current screen position
1425,1425,1356,0a0e,098a,cd bd 01,cd db 01,call $01bd,call $01db,call $0000,agon_os.asm,CALL	GETSCHR_1		; Read character from screen
1426,1426,1357,0a11,098d,6f,6f,"ld l,a","ld l,a","ld l,a",agon_os.asm,"LD	L, A"
1427,1427,1358,0a12,098e,3e 08,3e 08,"ld a,$08","ld a,$08","ld a,$00",agon_os.asm,"LD	A, function"
1428,1428,1359,0a14,0990,49 cf,49 cf,rst.lis $08,rst.lis $08,rst.lis $00,agon_os.asm,RST.LIS	08h
1429,1429,1360,0a16,0992,5b dd 66 27,5b dd 66 27,"ld.lil h,(ix+$27)","ld.lil h,(ix+$27)","ld.lil h,(ix+$00)",agon_os.asm,"LD.LIL	H, (IX+sysvar_scrMode)	; H: Screen mode"
1430,1430,1361,0a1a,0996,dd e1,dd e1,pop ix,pop ix,pop ix,agon_os.asm,POP	IX
1431,1431,1362,0a1c,0998,c3 d4 1b,c3 50 1b,jp $1bd4,jp $1b50,jp $0000,agon_os.asm,JP	COUNT1
1432,1432,1363,0a1f,099b,dd e5,dd e5,push ix,push ix,push ix,agon_os.asm,OSBYTE_A0:		PUSH	IX
1433,1433,1364,0a21,099d,3e 08,3e 08,"ld a,$08","ld a,$08","ld a,$00",agon_os.asm,"LD	A, function"
1434,1434,1365,0a23,099f,49 cf,49 cf,rst.lis $08,rst.lis $08,rst.lis $00,agon_os.asm,RST.LIS	08h
1435,1435,1366,0a25,09a1,5b 01 00 00 00,5b 01 00 00 00,"ld.lil bc,$000000","ld.lil bc,$000000","ld.lil bc,$000000",agon_os.asm,"LD.LIL	BC, 0"
1436,1436,1367,0a2a,09a6,4d,4d,"ld c,l","ld c,l","ld c,l",agon_os.asm,"LD	C, L			; BCU = L"
1437,1437,1368,0a2b,09a7,5b dd 09,5b dd 09,"add.lil ix,bc","add.lil ix,bc","add.lil ix,bc",agon_os.asm,"ADD.LIL	IX, BC			; Add to IX"
1438,1438,1369,0a2e,09aa,5b dd 6e 00,5b dd 6e 00,"ld.lil l,(ix)","ld.lil l,(ix)","ld.lil l,(ix)",agon_os.asm,"LD.LIL	L, (IX + 0)		; Fetch the return value"
1439,1439,1370,0a32,09ae,dd e1,dd e1,pop ix,pop ix,pop ix,agon_os.asm,POP	IX
1440,1440,1371,0a34,09b0,c3 d2 1b,c3 4e 1b,jp $1bd2,jp $1b4e,jp $0000,agon_os.asm,JP 	COUNT0
1441,1441,1372,0a37,09b3,cd 91 0a,cd 0d 0a,call $0a91,call $0a0d,call $0000,agon_os.asm,OSCLI: 			CALL    SKIPSP
1442,1442,1373,0a3a,09b6,fe 0d,fe 0d,cp $0d,cp $0d,cp $00,agon_os.asm,CP      CR
1443,1443,1374,0a3c,09b8,c8,c8,ret z,ret z,ret z,agon_os.asm,RET     Z
1444,1444,1375,0a3d,09b9,fe 7c,fe 7c,cp $7c,cp $7c,cp $00,agon_os.asm,CP      '|'
1445,1445,1376,0a3f,09bb,c8,c8,ret z,ret z,ret z,agon_os.asm,RET     Z
1446,1446,1377,0a40,09bc,eb,eb,"ex de,hl","ex de,hl","ex de,hl",agon_os.asm,"EX      DE,HL"
1447,1447,1378,0a41,09bd,21 a0 0a,21 1c 0a,"ld hl,$0aa0","ld hl,$0a1c","ld hl,$0000",agon_os.asm,"LD      HL,COMDS"
1448,1448,1379,0a44,09c0,1a,1a,"ld a,(de)","ld a,(de)","ld a,(de)",agon_os.asm,"OSCLI0:			LD      A,(DE)"
1449,1449,1380,0a45,09c1,cd 98 0a,cd 14 0a,call $0a98,call $0a14,call $0000,agon_os.asm,CALL    UPPRC
1450,1450,1381,0a48,09c4,be,be,cp (hl),cp (hl),cp (hl),agon_os.asm,CP      (HL)
1451,1451,1382,0a49,09c5,28 0b,28 0b,"jr z,$+$0d","jr z,$+$0d","jr z,$+$00",agon_os.asm,"JR      Z,OSCLI2"
1452,1452,1383,0a4b,09c7,38 2e,38 2e,"jr c,$+$30","jr c,$+$30","jr c,$+$00",agon_os.asm,"JR      C,OSCLI6"
1453,1453,1384,0a4d,09c9,cb 7e,cb 7e,"bit 7,(hl)","bit 7,(hl)","bit 7,(hl)",agon_os.asm,"OSCLI1:			BIT     7,(HL)"
1454,1454,1385,0a4f,09cb,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1455,1455,1386,0a50,09cc,28 fb,28 fb,"jr z,$-$03","jr z,$-$03","jr z,$-$00",agon_os.asm,"JR      Z,OSCLI1"
1456,1456,1387,0a52,09ce,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1457,1457,1388,0a53,09cf,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1458,1458,1389,0a54,09d0,18 ee,18 ee,jr $-$10,jr $-$10,jr $-$00,agon_os.asm,JR      OSCLI0
1459,1459,1390,0a56,09d2,d5,d5,push de,push de,push de,agon_os.asm,OSCLI2:			PUSH    DE
1460,1460,1391,0a57,09d3,13,13,inc de,inc de,inc de,agon_os.asm,OSCLI3:			INC     DE
1461,1461,1392,0a58,09d4,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1462,1462,1393,0a59,09d5,1a,1a,"ld a,(de)","ld a,(de)","ld a,(de)",agon_os.asm,"LD      A,(DE)"
1463,1463,1394,0a5a,09d6,cd 98 0a,cd 14 0a,call $0a98,call $0a14,call $0000,agon_os.asm,CALL    UPPRC
1464,1464,1395,0a5d,09d9,fe 2e,fe 2e,cp $2e,cp $2e,cp $00,agon_os.asm,CP      '.'			; ABBREVIATED?
1465,1465,1396,0a5f,09db,28 0a,28 0a,"jr z,$+$0c","jr z,$+$0c","jr z,$+$00",agon_os.asm,"JR      Z,OSCLI4"
1466,1466,1397,0a61,09dd,ae,ae,xor (hl),xor (hl),xor (hl),agon_os.asm,XOR     (HL)
1467,1467,1398,0a62,09de,28 f3,28 f3,"jr z,$-$0b","jr z,$-$0b","jr z,$-$00",agon_os.asm,"JR      Z,OSCLI3"
1468,1468,1399,0a64,09e0,fe 80,fe 80,cp $80,cp $80,cp $00,agon_os.asm,CP      80H
1469,1469,1400,0a66,09e2,28 03,28 03,"jr z,$+$05","jr z,$+$05","jr z,$+$00",agon_os.asm,"JR      Z,OSCLI4"
1470,1470,1401,0a68,09e4,d1,d1,pop de,pop de,pop de,agon_os.asm,POP     DE
1471,1471,1402,0a69,09e5,18 e2,18 e2,jr $-$1c,jr $-$1c,jr $-$00,agon_os.asm,JR      OSCLI1
1472,1472,1403,0a6b,09e7,f1,f1,pop af,pop af,pop af,agon_os.asm,OSCLI4:			POP     AF
1473,1473,1404,0a6c,09e8,13,13,inc de,inc de,inc de,agon_os.asm,INC     DE
1474,1474,1405,0a6d,09e9,cb 7e,cb 7e,"bit 7,(hl)","bit 7,(hl)","bit 7,(hl)",agon_os.asm,"OSCLI5:			BIT     7,(HL)"
1475,1475,1406,0a6f,09eb,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1476,1476,1407,0a70,09ec,28 fb,28 fb,"jr z,$-$03","jr z,$-$03","jr z,$-$00",agon_os.asm,"JR      Z,OSCLI5"
1477,1477,1408,0a72,09ee,7e,7e,"ld a,(hl)","ld a,(hl)","ld a,(hl)",agon_os.asm,"LD      A,(HL)"
1478,1478,1409,0a73,09ef,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1479,1479,1410,0a74,09f0,66,66,"ld h,(hl)","ld h,(hl)","ld h,(hl)",agon_os.asm,"LD      H,(HL)"
1480,1480,1411,0a75,09f1,6f,6f,"ld l,a","ld l,a","ld l,a",agon_os.asm,"LD      L,A"
1481,1481,1412,0a76,09f2,e5,e5,push hl,push hl,push hl,agon_os.asm,PUSH    HL
1482,1482,1413,0a77,09f3,eb,eb,"ex de,hl","ex de,hl","ex de,hl",agon_os.asm,"EX      DE,HL"
1483,1483,1414,0a78,09f4,c3 91 0a,c3 0d 0a,jp $0a91,jp $0a0d,jp $0000,agon_os.asm,JP      SKIPSP
1484,1484,1415,0a7b,09f7,eb,eb,"ex de,hl","ex de,hl","ex de,hl",agon_os.asm,"OSCLI6:			EX	DE, HL			; HL: Buffer for command"
1485,1485,1416,0a7c,09f8,11 00 53,11 00 52,"ld de,$5300","ld de,$5200","ld de,$0000",agon_os.asm,"LD	DE, ACCS		; Buffer for command string is ACCS (the string accumulator)"
1486,1486,1417,0a7f,09fb,d5,d5,push de,push de,push de,agon_os.asm,PUSH	DE			; Store buffer address
1487,1487,1418,0a80,09fc,cd 4f 05,cd 6d 05,call $054f,call $056d,call $0000,agon_os.asm,CALL	CSTR_LINE		; Fetch the line
1488,1488,1419,0a83,09ff,e1,e1,pop hl,pop hl,pop hl,agon_os.asm,POP	HL			; HL: Pointer to command string in ACCS
1489,1489,1420,0a84,0a00,fd e5,fd e5,push iy,push iy,push iy,agon_os.asm,PUSH	IY
1490,1490,1421,0a86,0a02,3e 10,3e 10,"ld a,$10","ld a,$10","ld a,$00",agon_os.asm,"LD	A, function"
1491,1491,1422,0a88,0a04,49 cf,49 cf,rst.lis $08,rst.lis $08,rst.lis $00,agon_os.asm,RST.LIS	08h
1492,1492,1423,0a8a,0a06,fd e1,fd e1,pop iy,pop iy,pop iy,agon_os.asm,POP	IY
1493,1493,1424,0a8c,0a08,b7,b7,or a,or a,or a,agon_os.asm,OR	A			; 0 means MOS returned OK
1494,1494,1425,0a8d,0a09,c8,c8,ret z,ret z,ret z,agon_os.asm,RET	Z			; So don't do anything
1495,1495,1426,0a8e,0a0a,c3 b1 07,c3 af 07,jp $07b1,jp $07af,jp $0000,agon_os.asm,JP 	OSERROR			; Otherwise it's a MOS error
1496,1496,1427,0a91,0a0d,7e,7e,"ld a,(hl)","ld a,(hl)","ld a,(hl)",agon_os.asm,"SKIPSP:			LD      A,(HL)"
1497,1497,1428,0a92,0a0e,fe 20,fe 20,cp $20,cp $20,cp $00,agon_os.asm,CP      ' '
1498,1498,1429,0a94,0a10,c0,c0,ret nz,ret nz,ret nz,agon_os.asm,RET     NZ
1499,1499,1430,0a95,0a11,23,23,inc hl,inc hl,inc hl,agon_os.asm,INC     HL
1500,1500,1431,0a96,0a12,18 f9,18 f9,jr $-$05,jr $-$05,jr $-$00,agon_os.asm,JR      SKIPSP
1501,1501,1432,0a98,0a14,e6 7f,e6 7f,and $7f,and $7f,and $00,agon_os.asm,UPPRC:  		AND     7FH
1502,1502,1433,0a9a,0a16,fe 60,fe 60,cp $60,cp $60,cp $00,agon_os.asm,CP      '`'
1503,1503,1434,0a9c,0a18,d8,d8,ret c,ret c,ret c,agon_os.asm,RET     C
1504,1504,1435,0a9d,0a19,e6 5f,e6 5f,and $5f,and $5f,and $00,agon_os.asm,AND     5FH			; CONVERT TO UPPER CASE
1505,1505,1436,0a9f,0a1b,c9,c9,ret,ret,ret,agon_os.asm,RET
1506,1506,1437,0aa0,0a1c,42,42,"ld b,d","ld b,d","ld b,d",agon_os.asm,"COMDS:  		DB	""BY"",""E""+80h		; BYE"
1507,1507,1438,0aa1,0a1d,59,59,"ld e,c","ld e,c","ld e,c",agon_os.asm,
1508,1508,,0aa2,,c5,,push bc,,push bc,,
1509,1509,,0aa3,,b0,,or b,,or b,,
1510,1510,,0aa4,,0a,,"ld a,(bc)",,"ld a,(bc)",,
1511,1511,,0aa5,,45,,"ld b,l",,"ld b,l",,
1512,1512,,0aa6,,44,,"ld b,h",,"ld b,h",,
